,index,Feature name,Coefficients,p_values,Original feature name,Score - Calculation,Score - Preliminary,Difference,Score - Final
41,41,mths_since_issue_d:65-84,-0.07178247779065382,0.014079696389012736,mths_since_issue_d,-5.538174451755638,-6.0,-0.46182554824436206,-6.0
42,42,int_rate:<9.548,0.8831377818392111,3.586949703239024e-31,int_rate,68.1360027028612,68.0,-0.1360027028612052,68.0
43,43,int_rate:9.548-12.025,0.5586672831073656,5.9247834490834765e-36,int_rate,43.10239726413831,43.0,-0.10239726413831107,43.0
44,44,int_rate:12.025-15.74,0.3061329539524545,7.241435360127224e-17,int_rate,23.61882393311191,24.0,0.38117606688809147,24.0
45,45,int_rate:15.74-20.281,0.11317223127393686,9.356684805165714e-05,int_rate,8.731484049873568,9.0,0.2685159501264316,9.0
46,46,mths_since_earliest_cr_line:141-164,0.055771814636756414,0.024978326878305455,mths_since_earliest_cr_line,4.302916929813077,4.0,-0.30291692981307694,4.0
47,47,mths_since_earliest_cr_line:165-247,0.037163659796110436,0.0642358527984897,mths_since_earliest_cr_line,2.8672572687837037,3.0,0.13274273121629632,3.0
48,48,mths_since_earliest_cr_line:248-270,0.07948130084190258,0.002453346262602871,mths_since_earliest_cr_line,6.132155412615765,6.0,-0.1321554126157647,6.0
49,49,mths_since_earliest_cr_line:271-352,0.12204310176194322,1.8916595849375874e-07,mths_since_earliest_cr_line,9.415891022349328,9.0,-0.41589102234932795,9.0
50,50,mths_since_earliest_cr_line:>352,0.12936119183673547,1.069154711176796e-06,mths_since_earliest_cr_line,9.980497605115378,10.0,0.01950239488462202,10.0
51,51,inq_last_6mths:0,0.666257297923511,3.530016299163498e-14,inq_last_6mths,51.40320116027197,51.0,-0.4032011602719692,51.0
52,52,inq_last_6mths:1-2,0.5197519047583138,3.2495428280252005e-09,inq_last_6mths,40.09999109502186,40.0,-0.09999109502186343,40.0
53,53,inq_last_6mths:3-6,0.30953302447767345,0.0004609262087603371,inq_last_6mths,23.88114677702169,24.0,0.11885322297830925,24.0
54,54,acc_now_delinq:>=1,0.18036770954566667,0.08867464446166375,acc_now_delinq,13.91576150158405,14.0,0.08423849841594944,14.0
55,55,annual_inc:20K-30K,-0.08151891258177237,0.05300067197361835,annual_inc,-6.28936159478817,-6.0,0.28936159478817025,-6.0
56,56,annual_inc:30K-40K,-0.018922546239254805,0.6402058883182438,annual_inc,-1.4599156419486305,-1.0,0.45991564194863055,-1.0
57,57,annual_inc:40K-50K,0.07568050343302639,0.061210358270328634,annual_inc,5.838915617139134,6.0,0.16108438286086635,6.0
58,58,annual_inc:50K-60K,0.14254795980839302,0.0004994204628796326,annual_inc,10.997885465351265,11.0,0.0021145346487347894,11.0
59,59,annual_inc:60K-70K,0.21809681571352935,1.908683496412927e-07,annual_inc,16.82664418908079,17.0,0.1733558109192117,17.0
60,60,annual_inc:70K-80K,0.2915467864077706,8.744157156100928e-12,annual_inc,22.493469348939094,22.0,-0.4934693489390938,22.0
61,61,annual_inc:80K-90K,0.36739337014859164,1.458405939571277e-16,annual_inc,28.345198423427114,28.0,-0.3451984234271137,28.0
62,62,annual_inc:90K-100K,0.38719795721420147,4.2061888310624264e-17,annual_inc,29.873165435574627,30.0,0.12683456442537278,30.0
63,63,annual_inc:100K-120K,0.4651016296785952,2.321100808187592e-24,annual_inc,35.883603383934485,36.0,0.11639661606551499,36.0
64,64,annual_inc:120K-140K,0.5523788385885858,1.8579975310902482e-26,annual_inc,42.617230077840325,43.0,0.38276992215967454,43.0
65,65,annual_inc:>140K,0.4915448980168599,4.985419975263423e-25,annual_inc,37.923759110503234,38.0,0.07624088949676633,38.0
66,66,dti:<=1.4,0.2524586509593634,0.002457692166807408,dti,19.477734593467638,19.0,-0.4777345934676376,19.0
67,67,dti:1.4-3.5,0.3715392987160077,1.1004540402510444e-07,dti,28.6650658392306,29.0,0.3349341607694001,29.0
68,68,dti:3.5-7.7,0.3844479358643528,1.7598907895006034e-10,dti,29.660995300880593,30.0,0.3390046991194069,30.0
69,69,dti:7.7-10.5,0.3197142984984711,9.326253359861492e-08,dti,24.666654235161378,25.0,0.3333457648386222,25.0
70,70,dti:10.5-16.1,0.24114340196155717,3.0807602579040415e-05,dti,18.604738496876173,19.0,0.3952615031238267,19.0
71,71,dti:16.1-20.3,0.1398387435368451,0.01581634322697516,dti,10.78886353129202,11.0,0.21113646870798064,11.0
72,72,dti:20.3-21.7,0.12745712047995467,0.03561927794625045,dti,9.83359435425245,10.0,0.16640564574755068,10.0
73,73,dti:21.7-22.4,0.09203054799556297,0.15511888060045595,dti,7.1003571536849215,7.0,-0.10035715368492149,7.0
74,74,dti:22.4-35,0.05026578557411538,0.3801275181026973,dti,3.878114799489945,4.0,0.12188520051005503,4.0
75,75,mths_since_last_delinq:Missing,0.11041293264395373,0.034595163094623585,mths_since_last_delinq,8.51859815281797,9.0,0.4814018471820294,9.0
76,76,mths_since_last_delinq:4-30,0.13695087845880208,0.009475183230081665,mths_since_last_delinq,10.566058452844064,11.0,0.4339415471559356,11.0
77,77,mths_since_last_delinq:31-56,0.18309039910944774,0.0006156026456617227,mths_since_last_delinq,14.12582292947415,14.0,-0.1258229294741504,16.0
78,78,mths_since_last_delinq:>=57,0.13610033281388154,0.012900727437157328,mths_since_last_delinq,10.500437004466528,11.0,0.4995629955334717,11.0
79,79,mths_since_last_record:Missing,0.3208707516304879,7.951615597197296e-05,mths_since_last_record,24.755877112213167,25.0,0.24412288778683333,25.0
80,80,mths_since_last_record:3-20,0.44062398779674394,0.000334722376729173,mths_since_last_record,33.99510001818772,34.0,0.004899981812279464,34.0
81,81,mths_since_last_record:21-31,0.3507061804283606,0.0018326624213011325,mths_since_last_record,27.05774540390742,27.0,-0.057745403907418336,27.0
82,82,mths_since_last_record:32-80,0.5029484537238769,3.966440638837868e-09,mths_since_last_record,38.803568261978306,39.0,0.196431738021694,39.0
83,83,mths_since_last_record:81-86,0.17583800834692725,0.08604849175583659,mths_since_last_record,13.566285191695348,14.0,0.4337148083046518,14.0
84,84,mths_since_last_record:>86,0.23269982731614203,0.00571190357937001,mths_since_last_record,17.953298328996958,18.0,0.04670167100304212,18.0
85,0,grade:G,0.0,,grade,0.0,0.0,0.0,0.0
86,1,home_ownership:RENT_OTHER_NONE_ANY,0.0,,home_ownership,0.0,0.0,0.0,0.0
87,2,addr_state:ND_NE_IA_NV_FL_HI_AL,0.0,,addr_state,0.0,0.0,0.0,0.0
88,3,verification_status:Verified,0.0,,verification_status,0.0,0.0,0.0,0.0
89,4,purpose:educ__sm_b__wedd__ren_en__mov__house,0.0,,purpose,0.0,0.0,0.0,0.0
90,5,initial_list_status:f,0.0,,initial_list_status,0.0,0.0,0.0,0.0
91,6,term:60,0.0,,term,0.0,0.0,0.0,0.0
92,7,emp_length:0,0.0,,emp_length,0.0,0.0,0.0,0.0
93,8,mths_since_issue_d:>84,0.0,,mths_since_issue_d,0.0,0.0,0.0,0.0
94,9,int_rate:>20.281,0.0,,int_rate,0.0,0.0,0.0,0.0
95,10,mths_since_earliest_cr_line:<140,0.0,,mths_since_earliest_cr_line,0.0,0.0,0.0,0.0
96,11,inq_last_6mths:>6,0.0,,inq_last_6mths,0.0,0.0,0.0,0.0
97,12,acc_now_delinq:0,0.0,,acc_now_delinq,0.0,0.0,0.0,0.0
98,13,annual_inc:<20K,0.0,,annual_inc,0.0,0.0,0.0,0.0
99,14,dti:>35,0.0,,dti,0.0,0.0,0.0,0.0
100,15,mths_since_last_delinq:0-3,0.0,,mths_since_last_delinq,0.0,0.0,0.0,0.0
101,16,mths_since_last_record:0-2,0.0,,mths_since_last_record,0.0,0.0,0.0,0.0
